row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,finishtime,winodds,date,raceno,class,distance
0,1,8,SAM'S LOVE(A088),J Moreira,C H Yip,126,996,13,1.09.61,6,02/04/17,1,4,1200
0,1,8,SIGHT LEADER(A211),J Moreira,W Y So,126,1102,14,0.55.40,1.8,09/04/17,1,4,1000
0,1,3,JUMBO LUCK(V068),J Moreira,K W Lui,132,1212,12,1.09.99,2.2,21/05/17,1,4,1200
0,1,10,FANTASTIC SHOW(A207),J Moreira,Y S Tsui,117,1040,1,1.09.97,4.9,09/07/17,1,1,1200
0,1,8,WINNING BOY(N186),J Moreira,A Schutz,125,967,2,1.09.77,3.5,08/07/15,2,5,1200
0,1,6,TEAM FORTUNE(T306),J Moreira,W Y So,125,1195,8,0.56.22,2.1,06/09/15,2,4,1000
0,1,1,FABULOUS ONE(T005),J Moreira,W Y So,133,1106,8,1.09.15,1.8,25/10/15,2,4,1200
0,1,6,DIEGO KOSTA(T357),J Moreira,J Size,128,1172,12,1.10.12,4.4,08/11/15,2,4,1200
0,1,6,MODERN FORTUNE(T081),J Moreira,J Size,123,1016,3,1.08.99,2.6,18/11/15,2,4,1200
0,1,4,LUCKY PROFIT(S335),J Moreira,C S Shum,129,1098,3,1.10.97,2,16/12/15,2,5,1200
0,1,11,FOREST COLOURS(P167),J Moreira,K W Lui,118,1109,14,1.49.03,1.8,01/01/16,2,5,1800
0,1,2,FORTUNE GIGGLES(S346),J Moreira,Y S Tsui,133,1242,6,1.36.60,2.4,31/01/16,2,5,1600
0,1,3,REWARDING HERO(N376),J Moreira,J Moore,125,1099,2,1.34.52,9.5,13/03/16,2,1,1600
0,1,8,VOLITATION(V223),J Moreira,J Size,126,1173,6,1.22.44,4.4,28/03/16,2,4,1400
0,1,6,RAPPER DRAGON(V082),J Moreira,J Moore,118,1165,6,1.20.52,2.5,16/04/16,2,1,1400
0,1 DH,3,KING BOUNTIFUL(T105),J Moreira,J Size,133,1097,9,2.17.97,3,01/05/16,2,5,2200
0,1,13,UNIQUE JOYOUS(S244),J Moreira,K L Man,119,1147,6,1.35.40,2.5,07/05/16,2,4,1600
0,1,7,HAPPY FRIENDSHIP(S074),J Moreira,S Woods,121,924,8,1.49.32,4.1,22/05/16,2,5,1800
0,1,1,BEAR RAPPER(S337),J Moreira,D E Ferraris,133,1176,1,1.10.28,2.7,01/06/16,2,4,1200
0,1,5,WHO'STHEDUDE(T312),J Moreira,C S Shum,129,1113,10,1.10.51,4.2,28/09/16,2,4,1200
0,1,1,INVISIBLE(T418),J Moreira,C Fownes,133,1139,14,1.10.07,10,08/10/16,2,5,1200
0,1,5,FORZA AVANTI(V090),J Moreira,Y S Tsui,131,1092,7,1.11.25,2.9,12/10/16,2,5,1200
0,1,1,DRAGON HARMONY(T283),J Moreira,J Moore,133,1194,13,1.49.08,2.8,04/12/16,2,5,1800
0,1,1,RIGHT CALL(V024),J Moreira,J Size,133,1131,4,1.22.48,2.3,22/01/17,2,4,1400
0,1,1,DASHING DART(V038),J Moreira,P O'Sullivan,133,1187,4,1.35.76,3.5,05/03/17,2,5,1600
0,1,8,GOLDEN PARTNERS(S286),J Moreira,A T Millard,122,1082,4,1.50.52,3.5,15/03/17,2,5,1800
0,1,1,CIRCUIT KING(T324),J Moreira,A S Cruz,133,1106,2,0.57.27,1.8,22/03/17,2,4,1000
0,1,1,BEAUTY LOVE(V025),J Moreira,A S Cruz,131,1054,1,1.22.81,3.3,09/04/17,2,4,1400
0,1,4,ENSURING(S437),J Moreira,J Size,131,1085,7,2.16.07,2,17/06/15,3,3,2200
0,1,8,TOP BONUS(T132),J Moreira,J Size,123,1185,8,1.10.56,3.5,24/06/15,3,4,1200
0,1,4,ONE MORE WORLD(S430),J Moreira,J Moore,124,1123,8,1.22.89,2,27/06/15,3,4,1400
0,1,3,SPARKLING SWORD(P256),J Moreira,K W Lui,127,1161,3,1.51.81,2.3,23/09/15,3,4,1800
0,1,12,VICTOR EMPEROR(S425),J Moreira,C H Yip,115,1123,8,1.09.60,2.6,18/10/15,3,4,1200
0,1,8,TEN FLAMES(S447),J Moreira,L Ho,125,1106,1,1.10.57,1.6,22/10/15,3,4,1200
0,1,2,GENERAL IRON(P429),J Moreira,C S Shum,131,1144,4,1.11.08,2,01/11/15,3,3,1200
0,1,12,GLAMOROUS RYDER(S007),J Moreira,P O'Sullivan,115,1083,2,2.03.06,2.2,14/11/15,3,5,2000
0,1,9,RACING MATE(S216),J Moreira,W Y So,118,1008,9,1.10.26,1.8,23/12/15,3,3,1200
0,1,10,G-ONE BO BO(S374),J Moreira,J Size,119,1076,1,1.10.39,2.6,17/01/16,3,4,1200
0,1,2,WHO ELSE BUT YOU(T341),J Moreira,P O'Sullivan,132,1100,8,1.10.84,3.5,31/01/16,3,4,1200
0,1,11,DIEGO KOSTA(T357),J Moreira,J Size,115,1140,8,1.09.69,3.8,14/02/16,3,3,1200
0,1,1,RIGHT CALL(V024),J Moreira,J Size,133,1111,6,1.21.95,3,28/03/16,3,4,1400
0,1,7,LUCKY PROFIT(S335),J Moreira,C S Shum,122,1108,4,1.10.68,1.8,31/03/16,3,4,1200
0,1,11,KING BOUNTIFUL(T105),J Moreira,J Size,118,1119,1,2.17.54,5,18/05/16,3,4,2200
0,1,4,LOVE SHOCK(V287),J Moreira,J Size,129,1283,2,1.09.14,1.8,05/06/16,3,4,1200
0,1,5,HELENE PARAGON(V167),J Moreira,J Moore,119,1078,6,1.45.83,1.8,19/06/16,3,1,1800
0,1,2,SO CAFFE(S258),J Moreira,C Fownes,133,1117,3,1.40.89,2.8,12/10/16,3,3,1650
0,1,5,FLYING MACHINE(T413),J Moreira,W Y So,131,1080,10,1.40.83,3.2,02/11/16,3,5,1650
0,1,3,LOVE SHOCK(V287),J Moreira,J Size,128,1288,12,1.09.84,2.4,07/12/16,3,3,1200
0,1,7,GARLIC YEAH(V039),J Moreira,C H Yip,126,983,5,1.51.20,4.3,14/12/16,3,5,1800
0,1,2,AMAZING KIDS(T179),J Moreira,J Size,132,1159,1,0.55.90,5.8,08/01/17,3,1,1000
0,1,5,MR STUNNING(V153),J Moreira,J Size,115,1104,6,0.55.65,1.8,05/03/17,3,1,1000
0,1,1,DRAGON GENERAL(T400),J Moreira,Y S Tsui,133,1099,3,0.57.69,2.4,26/03/17,3,3,1000
0,1,11,WONDERFUL FIGHTER(S422),J Moreira,P F Yiu,117,1119,7,1.10.03,3.5,24/06/15,4,4,1200
0,1,12,WINNING MASCOT(L342),J Moreira,C W Chang,115,1098,3,1.42.63,3.7,22/10/15,4,4,1650
0,1,1,CARTOON FAY FAY(N014),J Moreira,A T Millard,132,1133,2,1.48.23,3.2,18/11/15,4,4,1800
0,1,4,WHO ELSE BUT YOU(T341),J Moreira,P O'Sullivan,129,1092,12,1.10.69,2.6,06/12/15,4,4,1200
0,1,6,TOWERING STORM(M401),J Moreira,P O'Sullivan,128,1092,7,2.19.27,3.6,16/12/15,4,4,2200
0,1,2,BAMBOO DANCE(M327),J Moreira,D J Hall,132,1153,11,1.35.01,3.3,19/12/15,4,4,1600
0,1,8,VARA PEARL(S138),J Moreira,A T Millard,123,1039,12,1.40.99,5.1,23/12/15,4,4,1650
0,1,10,HOUSE OF LUCK(S127),J Moreira,K W Lui,124,1104,4,1.36.39,2.7,17/01/16,4,4,1600
0,1,7,SMART UNION(P268),J Moreira,K W Lui,120,1108,1,1.50.56,3.8,31/03/16,4,4,1800
0,1,12,RESPECT(T359),J Moreira,J Moore,117,1140,6,1.10.12,3.5,16/04/16,4,4,1200
0,1,2,LUCKY PROFIT(S335),J Moreira,C S Shum,131,1116,2,1.10.31,2.6,27/04/16,4,4,1200
0,1,2,HOME RUN(V101),J Moreira,Y S Tsui,127,1094,3,1.22.37,2.1,29/05/16,4,4,1400
0,1,4,UNIQUE JOYOUS(S244),J Moreira,K L Man,128,1168,1,1.34.34,1.9,05/06/16,4,4,1600
0,1,4,SATONO CROWN(V632),J Moreira,N Hori,126,1069,9,2.26.22,20,11/12/16,4,2,2400
0,1,7,MONEY BOY(A008),J Moreira,J Size,125,1077,8,1.09.62,2.5,17/12/16,4,4,1200
0,1,14,IMPERIAL SEAL(T223),J Moreira,C Fownes,118,1107,7,1.35.11,3,14/01/17,4,4,1600
0,1,7,GRACYDAD(V200),J Moreira,D J Hall,128,1091,1,1.10.25,1.7,15/02/17,4,4,1200
