horse_name,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,win_odds,running_position_1,running_position_2,running_position_3,finishing_position
MY DARLING,J Moreira,J Size,133,1123,3,1.21.05,2.3,5,3,2,6
UNICRON JEWELLERY,J Moreira,J Size,116,1078,10,1.40.76,9.4,11,9,6,10
SAM'S LOVE,J Moreira,C H Yip,116,1013,12,1.22.87,3.3,1,3,3,9
FANTASTIC SHOW,J Moreira,Y S Tsui,117,1040,1,1.09.97,4.9,11,9,1,1
SIR REDALOT,J Moreira,J Size,121,987,9,1.22.03,3.5,2,1,1,7
LAUGHING LORD,J Moreira,C W Chang,125,1107,12,1.23.49,11,1,2,2,4
COOL AND NEAT,J Moreira,D J Hall,127,1190,7,1.25.16,3.7,11,10,11,13
VICTORY FOLLOW ME,J Moreira,C S Shum,121,1009,6,1.11.04,9.6,10,10,8,8
PEACE COMBINATION,J Moreira,C Fownes,119,1074,8,0.56.63,11,10,8,3,3
SUNNY WIN,J Moreira,L Ho,126,1222,9,1.09.44,1.9,7,6,1,1
INFINITY ENDEAVOUR,J Moreira,J Size,133,1101,7,1.35.66,3,2,2,2,3
ARIZONA BLIZZARD,J Moreira,J Size,125,1089,9,1.09.94,4.8,10,9,2,2
DINOZZO,J Moreira,J Size,122,1038,9,2.00.72,3.6,9,8,9,5
ACCESSION YEARS,J Moreira,J Size,125,958,7,0.58.79,26,6,9,11,11
SEVEN LUCK,J Moreira,C H Yip,122,1059,1,1.41.10,8.3,6,6,5,7
GREAT JOY,J Moreira,D J Hall,132,992,9,1.40.30,4.4,9,9,9,2
FUNNY BUDDIES,J Moreira,P O'Sullivan,118,1025,8,1.10.43,4.7,7,3,5,5
MONEY BOY,J Moreira,J Size,120,1068,12,0.57.29,2.6,1,1,2,2
LANG TAI SING,J Moreira,K L Man,116,1075,12,1.10.02,13,12,10,7,7
EASY HEDGE,J Moreira,J Size,120,1067,6,1.50.62,4.5,2,4,4,6
HOUSE OF FUN,J Moreira,J Size,129,1219,9,1.10.04,4.3,2,2,6,6
KWAICHUNG BROTHERS,J Moreira,R Gibson,133,1157,8,1.11.28,4.1,10,11,10,10
IVICTORY,J Moreira,J Size,122,1039,8,1.10.14,2.5,5,5,1,1
BIG BANG BONG,J Moreira,J Size,121,1062,3,1.23.65,4.7,5,3,5,8
LIGHTNING AND GOLD,J Moreira,C H Yip,126,1046,11,1.50.51,4.8,10,9,8,10
JOLLY BOUNTIFUL,J Moreira,J Size,131,973,1,1.10.40,2.3,8,8,3,3
FIVE STARS AGENT,J Moreira,J Size,118,1068,5,1.23.87,3.7,1,1,1,3
KING BOUNTIFUL,J Moreira,J Size,128,1113,12,1.51.87,11,9,10,9,6
SUPERIOR BOY,J Moreira,C W Chang,123,1190,7,1.25.34,4.8,3,4,3,9
SERGEANT TITANIUM,J Moreira,J Size,133,1134,1,1.36.79,11,4,3,4,5
BEAT THE CLOCK,J Moreira,J Size,117,1092,3,1.35.94,2.1,3,4,3,3
CALCULATION,J Moreira,J Size,120,1076,7,1.23.09,4.6,1,1,1,1
