horse_name,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,win_odds,running_position_1,running_position_2,running_position_3,finishing_position
ENSEMBLE,J Moreira,J Size,132,1155,3,0.57.05,3,2,4,6,6
GOLDEN SCALPEL,J Moreira,D J Hall,120,1091,3,1.40.74,2.9,5,4,4,2
FAMILY INTERESTS,J Moreira,C Fownes,126,1159,12,0.57.45,12,8,5,3,3
HARBOUR MASTER,J Moreira,J Moore,131,1169,5,1.48.66,1.9,9,9,8,1
ELEGANCE KLAMMER,J Moreira,C W Chang,123,1067,10,1.41.65,6,11,11,9,2
GRIFFINDOR,J Moreira,J Moore,116,1133,4,1.40.68,3.4,6,6,6,3
SUPREME FALCON,J Moreira,J Moore,126,1147,8,1.10.33,6.9,5,5,4,4
WONDERFUL MOMENTS,J Moreira,J Size,119,1173,5,1.22.43,3.6,2,2,2,4
THUNDER FANTASY,J Moreira,J Size,124,1160,5,1.35.23,17,7,8,8,4
MONSIEUR MOGOK,J Moreira,A T Millard,118,998,14,1.48.42,16,12,13,14,2
EROICO,J Moreira,J Size,116,1164,13,1.09.54,2.8,2,2,1,1
DOMINANT,J Moreira,J Moore,126,1086,2,2.30.17,9.4,8,9,8,4
STERLING CITY,J Moreira,J Moore,126,1066,3,1.09.44,13,8,8,10,10
TEOFILO CALVA,J Moreira,J Size,133,1201,12,1.09.09,2.6,7,7,4,4
ABLE FRIEND,J Moreira,J Moore,126,1297,10,1.33.49,1.3,9,9,8,1
DESIGNS ON ROME,J Moreira,J Moore,126,1086,3,2.01.96,1.9,11,11,12,1
HELEN'S CHOICE,J Moreira,K W Lui,129,1203,6,1.43.08,3.3,8,8,8,12
ALL TIMES LUCKY,J Moreira,C H Yip,123,1048,5,1.10.46,5.9,2,2,1,1
SMART GUY,J Moreira,L Ho,123,933,7,1.51.86,4.9,11,11,11,5
DRAGON BACHELOR,J Moreira,Y S Tsui,115,1120,4,2.20.68,3.3,11,9,9,8
STAR MAJESTIC,J Moreira,P O'Sullivan,130,1072,3,1.41.08,3,3,3,4,2
APOLLO CAVALIER,J Moreira,Y S Tsui,124,1068,3,1.10.71,6.8,1,1,6,6
TOUR DE FORCE,J Moreira,J Size,127,1145,9,1.09.26,12,8,7,2,2
BULLISH SMART,J Moreira,A S Cruz,132,1090,4,1.40.74,3.7,7,8,7,4
TRILLION TREASURE,J Moreira,A Schutz,122,1067,9,0.57.04,3.9,2,3,1,1
HELENE HAPPY STAR,J Moreira,J Moore,124,1130,6,1.35.75,5.5,4,4,5,11
COLOURFUL PROFIT,J Moreira,C S Shum,132,1163,12,1.36.34,23,4,4,3,3
HURRY HURRY UP,J Moreira,C Fownes,132,1108,3,1.22.72,7.1,3,3,3,2
GRAND PLUS,J Moreira,J Size,133,1081,12,1.09.71,3.4,3,2,4,4
GOLDEN SCALPEL,J Moreira,D J Hall,122,1073,5,1.47.87,5.2,12,11,10,1
EROICO,J Moreira,J Size,125,1173,7,1.10.05,1.5,5,6,2,2
STARTLING POWER,J Moreira,T P Yung,115,1026,5,1.08.09,2.8,2,2,1,1
LAUGH OUT LOUD,J Moreira,K L Man,117,1128,10,1.22.76,12,9,9,8,4
MOBILE KING,J Moreira,C Fownes,133,1066,10,1.42.27,8.8,10,11,11,6
MONSIEUR MOGOK,J Moreira,A T Millard,119,1005,6,1.50.96,4.5,2,2,3,5
HARBOUR MASTER,J Moreira,J Moore,115,1157,3,1.49.45,2,5,5,5,3
TONYBOY,J Moreira,A T Millard,130,1173,10,1.10.44,3.8,9,9,3,3
SICHUAN EXEC,J Moreira,J Size,131,1082,4,1.41.13,6.3,4,4,4,5
TANG PALACE,J Moreira,T K Ng,115,1134,6,1.09.70,6.3,2,1,4,4
UNIVERSAL UNION,J Moreira,T P Yung,133,1213,6,1.23.52,3.9,12,14,12,2
HAPPY MOMENTS,J Moreira,J Moore,125,977,3,1.39.00,3.2,5,6,4,1
MODERN FORTUNE,J Moreira,J Size,123,1021,6,1.11.09,12,2,2,9,9
LET ME GO,J Moreira,J Moore,131,1163,8,1.09.85,4,9,9,3,3
SOUL ACHIEVER,J Moreira,A T Millard,131,1132,2,1.23.22,2.9,7,9,13,1
HIGH WARRIOR,J Moreira,J Size,130,1088,12,1.38.65,11,8,7,7,12
ACCESS YEARS,J Moreira,J Size,132,1054,3,1.08.14,2.6,2,2,2,2
ART OF SUCCESS,J Moreira,C S Shum,115,1107,8,0.57.03,40,7,8,6,6
RED DANCER,J Moreira,J Size,123,1104,1,1.35.63,4.1,7,6,5,1
SMART GUY,J Moreira,L Ho,122,940,1,1.50.94,4,6,6,7,4
DIAMOND FRIENDS,J Moreira,J Size,130,1047,5,1.13.69,27,11,11,12,12
FLYING RED,J Moreira,J Size,115,1184,1,1.11.45,3.5,6,6,9,9
JOLLY GOOD STAR,J Moreira,C S Shum,122,1117,7,1.51.78,3.2,2,2,2,8
STAR MAJESTIC,J Moreira,P O'Sullivan,132,1073,4,1.41.75,2.6,6,8,9,1
FANTASTICO,J Moreira,P F Yiu,128,1064,5,0.57.74,6.4,5,3,4,4
GENTILIS,J Moreira,C H Yip,127,1098,10,1.11.10,4,9,6,9,9
ENTRUSTING,J Moreira,R Gibson,119,1034,12,1.40.92,69,11,11,11,2
ONE MORE WORLD,J Moreira,J Moore,126,1178,4,1.10.86,5.1,8,10,5,5
DYNAMISM,J Moreira,D E Ferraris,116,1095,9,1.48.89,58,9,9,10,4
RUGBY DIAMOND,J Moreira,W Y So,128,1043,4,0.58.49,14,2,2,10,10
TOUR DE FORCE,J Moreira,J Size,132,1142,8,1.21.96,8.7,2,2,3,4
DRAGON,J Moreira,J Size,129,1127,12,1.24.04,8.3,3,4,3,8
SERGEANT TITANIUM,J Moreira,J Size,123,1127,5,1.36.05,6.5,3,4,3,1
DASHING FELLOW,J Moreira,J Moore,129,1151,5,1.22.64,1.8,1,3,2,1
FASTER MORE,J Moreira,P F Yiu,115,1194,9,1.49.11,6.5,10,10,9,4
DIVINE CALLING,J Moreira,A T Millard,126,1149,4,1.34.33,1.7,7,7,8,2
THUNDER FLYER,J Moreira,K W Lui,117,1216,3,1.22.14,2.8,4,3,3,1
SEA RUBY,J Moreira,J Moore,124,1188,8,1.10.67,3.9,3,2,3,3
PLAIN BLUE BANNER,J Moreira,D E Ferraris,119,1095,11,1.41.58,9.3,9,8,6,10
TOP BONUS,J Moreira,J Size,127,1192,5,0.58.06,3.8,4,5,7,7
SECRET COMMAND,J Moreira,A T Millard,124,1074,10,1.09.86,5.4,2,1,2,2
SIGHT BELIEVER,J Moreira,J Size,115,1185,12,1.10.61,4.8,9,10,11,11
ROMANTIC TOUCH,J Moreira,T P Yung,121,1123,9,1.39.61,4.5,11,11,11,1
HIGH SPEED METRO,J Moreira,S Woods,115,1143,13,1.40.07,9.9,13,13,9,7
PRINCIPAL,J Moreira,J Moore,120,1130,12,1.22.13,13,2,1,1,6
GOLDEN SCALPEL,J Moreira,D J Hall,128,1070,3,2.04.29,2.6,6,7,9,11
KINGSTON JUMBO,J Moreira,W Y So,120,1080,3,1.08.94,2.9,2,2,1,1
G-ONE BO BO,J Moreira,J Size,128,1109,4,1.22.68,14,9,9,8,7
LANSBURY,J Moreira,D J Hall,123,1156,13,1.10.18,58,12,10,9,9
BUNDLE OF JOY,J Moreira,D J Hall,126,1183,8,0.55.52,3.3,2,1,2,2
ABLE FRIEND,J Moreira,J Moore,126,1279,8,1.33.50,1.2,8,8,7,1
EROICO,J Moreira,J Size,124,1165,1,1.09.26,1.8,5,5,1,1
MR VANILLA,J Moreira,D E Ferraris,129,1061,8,1.41.00,9.8,8,9,9,1
THOR THE GREATEST,J Moreira,T P Yung,127,1161,1,1.10.00,1.5,1,1,2,2
GALLANT ROCK,J Moreira,A T Millard,121,1139,4,0.58.90,2.9,1,3,12,12
ELEGANCE KLAMMER,J Moreira,C W Chang,126,1078,8,1.41.48,5.2,9,8,8,3
TANGO FIRE,J Moreira,J Moore,121,1063,2,1.10.76,3.7,4,4,5,5
BRILLIANT PROPOSAL,J Moreira,D Cruz,117,1179,4,0.57.23,3.5,3,1,2,2
SOUL ACHIEVER,J Moreira,A T Millard,119,1118,8,1.41.41,2.5,11,11,11,5
OPTIMIZATION STAR,J Moreira,D J Hall,125,1081,14,1.23.12,4.5,13,13,13,1
REDKIRK WARRIOR,J Moreira,W Y So,122,1149,8,1.35.33,4.2,9,9,7,1
ART OF SUCCESS,J Moreira,C S Shum,132,1104,5,0.57.70,12,10,5,3,3
SUGAR CITY,J Moreira,R Gibson,132,1083,6,1.23.03,1.9,10,8,7,1
DRAGON,J Moreira,J Size,128,1117,6,1.49.61,5.6,5,4,6,4
TELECOM BOSS,J Moreira,K W Lui,133,1134,1,1.11.27,8.6,3,5,7,7
LOVELY DELOVELY,J Moreira,D Cruz,127,1068,9,0.56.51,6.5,2,3,2,2
SUPER JOCKEY,J Moreira,A T Millard,128,1150,6,1.08.98,6.1,2,1,4,4
SIGHT SEEING,J Moreira,W Y So,120,1112,12,1.10.27,4.2,11,11,10,10
BRILLIANT DREAM,J Moreira,D J Hall,126,1120,13,1.22.95,5.6,7,2,2,4
HELEN'S CHOICE,J Moreira,K W Lui,129,1201,7,1.44.10,3.7,9,8,3,11
TRILLION TREASURE,J Moreira,A Schutz,130,1069,5,0.58.27,2.2,2,3,8,8
SEA RUBY,J Moreira,J Moore,125,1177,2,1.10.93,2.9,6,7,2,2
GO SANDY GO,J Moreira,D J Hall,115,1136,12,1.51.43,3.3,11,11,9,7
MONTE CASTELLO,J Moreira,Y S Tsui,116,1122,3,1.12.89,3,5,5,12,12
TOM'S CHARM,J Moreira,J Size,127,1045,12,1.41.70,5.2,12,12,10,1
AGIAAL,J Moreira,A Schutz,115,1052,5,1.50.95,10,9,10,9,5
SLEDGE HAMMER,J Moreira,C S Shum,133,1210,8,1.09.52,4.6,8,8,4,4
WONDERFUL MOMENTS,J Moreira,J Size,133,1159,7,1.21.26,5.4,3,3,3,3
TOP BONUS,J Moreira,J Size,125,1197,7,0.57.66,6.2,4,3,7,7
ELITE PRIDE,J Moreira,J Moore,125,1062,7,1.35.92,7.7,11,10,13,5
STARTLING POWER,J Moreira,T P Yung,127,1040,10,1.08.35,2.8,1,1,1,1
EROICO,J Moreira,J Size,128,1159,12,1.09.56,2.4,3,4,6,6
DESIGNS ON ROME,J Moreira,J Moore,131,1103,9,1.47.26,2.2,9,9,9,1
RED DANCER,J Moreira,J Size,131,1089,5,1.35.40,6.9,6,7,6,1
DRAGON,J Moreira,J Size,127,1117,10,2.20.24,4.4,3,1,1,10
GO-GETTER,J Moreira,J Size,118,1106,2,1.40.49,3,3,3,3,1
HAPPY HOMING,J Moreira,K W Lui,121,1106,1,1.10.52,3.8,7,7,1,1
HARBOUR PUNK,J Moreira,D Cruz,130,1066,6,0.56.79,4.5,2,2,1,1
STAR MAJESTIC,J Moreira,P O'Sullivan,117,1080,5,1.40.78,2.2,5,4,3,1
SECRET COMMAND,J Moreira,A T Millard,128,1070,11,1.10.56,6.4,2,3,6,6
PABLOSKY,J Moreira,J Moore,115,1099,10,1.09.78,8.3,2,2,3,3
COLOURFUL PROFIT,J Moreira,C S Shum,130,1151,1,1.36.32,5,5,5,6,7
ROMANTIC TOUCH,J Moreira,T P Yung,123,1119,14,1.35.49,4.7,9,9,10,4
SERGEANT TITANIUM,J Moreira,J Size,128,1128,6,1.50.23,2,7,9,10,1
G-ONE BO BO,J Moreira,J Size,129,1105,6,1.24.01,8.9,7,5,4,4
HAPPY MOMENTS,J Moreira,J Moore,131,980,10,1.41.01,4.1,9,10,14,8
ASHKIYR,J Moreira,J Moore,124,1094,11,2.03.92,10,11,11,11,8
GRAND PLUS,J Moreira,J Size,117,1087,8,1.39.57,3.4,7,7,4,1
SMART VOLATILITY,J Moreira,K W Lui,126,1189,12,1.09.30,8.6,5,5,8,8
TRAVEL RENYI,J Moreira,R Gibson,123,1053,3,1.23.04,4.7,7,6,6,6
REDKIRK WARRIOR,J Moreira,W Y So,126,1158,12,1.48.63,3.9,4,4,4,2
CHIN CHUN,J Moreira,J Size,127,1077,7,1.10.34,1.8,3,4,3,3
SOUL ACHIEVER,J Moreira,A T Millard,117,1107,10,1.35.26,2.8,8,10,11,6
DASHING FELLOW,J Moreira,J Moore,116,1114,12,1.22.58,3.1,6,8,6,4
BEAR RAPPER,J Moreira,D E Ferraris,128,1138,4,1.10.42,2,10,6,2,2
SUPER SILKS,J Moreira,J Size,121,1056,10,1.35.99,9.4,3,6,4,7
AH BO,J Moreira,A T Millard,123,1118,10,1.22.95,4.4,9,10,10,3
SHINING CHAMPION,J Moreira,J Size,121,1112,1,1.10.07,3.6,13,12,4,4
HAPPY ROCKY,J Moreira,A Lee,116,1060,6,2.03.79,4.4,6,7,10,6
REAL SPECIALIST,J Moreira,J Size,133,1230,4,1.22.92,6.1,5,4,5,1
TEOFILO CALVA,J Moreira,J Size,133,1171,11,1.09.10,2.7,4,4,2,2
GIDDY GIDDY,J Moreira,J Size,125,1101,8,0.58.18,3.1,1,1,8,8
NAVEL ORANGE,J Moreira,D E Ferraris,121,1108,2,2.17.84,3.8,7,8,8,4
SEA RUBY,J Moreira,J Moore,126,1174,1,1.10.10,2.3,3,2,2,2
TOM'S CHARM,J Moreira,J Size,130,1043,4,1.42.23,2.1,3,2,2,4
TANGO FIRE,J Moreira,J Moore,127,1059,5,1.11.29,4.2,6,7,9,9
UNIVERSAL UNION,J Moreira,T P Yung,115,1208,9,1.41.88,2.6,11,10,10,11
GOLD TARTINI,J Moreira,D J Hall,126,1001,2,2.03.93,7.7,4,5,5,1
CONTENTMENT,J Moreira,J Size,115,1138,5,1.47.05,2.8,2,3,3,1
KINGSTON JUMBO,J Moreira,W Y So,127,1072,2,1.08.96,2.7,4,3,1,1
BEAR-POP,J Moreira,J Moore,123,1069,2,1.22.98,2.5,7,6,5,3
TELECOM BOSS,J Moreira,K W Lui,132,1148,9,1.10.59,11,8,6,3,3
ACCESS YEARS,J Moreira,J Size,125,1060,6,1.08.45,3.8,6,4,5,5
BOSSIEE,J Moreira,D Cruz,117,1182,2,1.22.05,1.6,3,5,6,1
DESIGNS ON ROME,J Moreira,J Moore,126,1073,3,2.01.57,1.8,7,7,7,1
BAAB AL NASR,J Moreira,C W Chang,120,979,13,1.36.08,23,12,12,13,10
EROICO,J Moreira,J Size,133,1167,8,1.09.39,4.7,5,6,1,1
DARK CORE,J Moreira,J Size,131,1094,9,0.58.78,17,5,3,10,10
SPITFIRE,J Moreira,A T Millard,131,1138,1,1.10.20,5.3,1,1,2,2
ZACHARY,J Moreira,K W Lui,131,1176,10,1.42.09,6,5,5,5,5
RED COURAGE,J Moreira,J Size,119,1182,8,1.10.74,9.2,8,8,3,3
FRESH AND FRESH,J Moreira,P F Yiu,121,1042,6,1.42.44,37,3,2,2,5
GO-GETTER,J Moreira,J Size,125,1085,10,1.41.87,3.9,3,4,4,6
SECRET COMMAND,J Moreira,A T Millard,125,1067,4,1.10.47,2.6,5,6,7,7
WRATH OF FIRE,J Moreira,D E Ferraris,124,1093,1,1.50.73,5.1,7,7,6,2
GOLDEN ADDICTION,J Moreira,J Size,130,1048,9,1.42.69,6.7,2,2,1,4
SLEDGE HAMMER,J Moreira,C S Shum,131,1219,1,1.39.67,5.2,7,6,5,1
DR GOOD HABIT,J Moreira,J Size,133,1143,2,1.22.62,7.6,5,5,3,4
TOP BONUS,J Moreira,J Size,123,1189,4,0.57.60,22,10,8,4,4
HAPPY MOMENTS,J Moreira,J Moore,130,968,10,1.40.64,4.8,13,12,14,11
ATHENA BABY,J Moreira,C S Shum,122,1060,5,1.22.51,3.2,7,7,5,1
SERGEANT TITANIUM,J Moreira,J Size,133,1118,14,1.49.60,3.7,5,4,4,1
PRINCIPAL,J Moreira,J Moore,118,1137,6,1.35.90,8.3,10,10,9,8
DEHERE'S THE LOVE,J Moreira,J Size,130,1125,1,1.08.14,2.2,5,6,1,1
GOOD LUCK BOY,J Moreira,D J Hall,115,1189,2,0.58.73,6,11,12,12,12
ARPINATI,J Moreira,J Moore,119,1156,1,1.21.62,1.7,8,6,4,1
SWEET BEAN,J Moreira,C Fownes,115,975,2,1.51.74,3.8,4,5,5,1
DO YOU GET IT,J Moreira,D Cruz,129,1177,12,0.58.01,6.9,9,9,2,2
SURE PEACE,J Moreira,J Moore,115,1131,8,1.42.65,13,9,9,7,12
AGIAAL,J Moreira,A Schutz,118,1050,10,1.42.30,7.6,11,9,9,7
BALTIC WARRIOR,J Moreira,C S Shum,131,1124,12,1.10.63,8.9,10,10,3,3
STAR MAJESTIC,J Moreira,P O'Sullivan,124,1076,12,1.41.23,2.3,8,2,1,1
EYE ON YOU,J Moreira,J Size,133,1117,9,0.57.74,5.7,12,12,7,7
LET ME DO,J Moreira,W Y So,126,1086,1,1.10.47,2.6,4,6,5,5
PABLOSKY,J Moreira,J Moore,119,1093,7,1.10.12,5.1,7,6,5,5
FORTUNE TERRITORY,J Moreira,W Y So,133,1135,2,1.23.31,2.7,9,10,7,1
EROICO,J Moreira,J Size,123,1156,10,1.22.74,3.5,2,3,3,2
PENANG HALL,J Moreira,D J Hall,125,1232,13,1.12.03,6.7,13,14,13,13
BEAR RAPPER,J Moreira,D E Ferraris,129,1151,1,1.24.07,2.3,6,7,6,9
ROUGE ET BLANC,J Moreira,C S Shum,117,1152,10,1.36.61,14,7,8,6,1
TOP ACT,J Moreira,A T Millard,129,1109,10,1.48.92,3.1,4,6,7,1
SIGHT SEEING,J Moreira,W Y So,122,1098,13,1.11.84,10,7,7,14,14
ABLE FRIEND,J Moreira,J Moore,126,1263,5,1.21.10,1.3,9,8,7,1
DASHING FELLOW,J Moreira,J Moore,115,1133,5,1.22.58,2.7,2,4,3,2
REDKIRK WARRIOR,J Moreira,W Y So,126,1158,6,2.02.65,3.2,7,6,6,11
NATURAL EIGHT,J Moreira,C Fownes,121,1038,9,1.41.27,7.7,8,8,7,7
SEA RUBY,J Moreira,J Moore,128,1175,10,1.10.11,3.2,9,8,5,5
GIDDY GIDDY,J Moreira,J Size,123,1088,9,1.10.81,7.9,2,2,7,7
NAVEL ORANGE,J Moreira,D E Ferraris,118,1102,12,1.51.05,6.1,12,12,12,5
GRIFFINDOR,J Moreira,J Moore,133,1114,3,1.41.61,2.2,6,6,5,4
SAVVY NATURE,J Moreira,J Moore,125,1225,4,1.49.21,2.8,4,3,3,1
GOODHEART SUCCESS,J Moreira,C S Shum,124,1082,6,1.40.35,3.7,6,6,7,3
BRIGHT STAR,J Moreira,T P Yung,121,1026,10,1.10.40,10,12,12,11,11
DRAGON BACHELOR,J Moreira,Y S Tsui,125,1103,11,1.48.57,3.9,11,13,12,2
PACKING PINS,J Moreira,P F Yiu,122,1145,2,1.22.07,1.8,4,5,6,1
TOP BONUS,J Moreira,J Size,124,1189,1,0.57.63,8.8,2,2,5,5
WINNING EXPRESSO,J Moreira,J Moore,127,1138,1,1.24.61,17,5,5,5,10
MODERN FORTUNE,J Moreira,J Size,119,1007,1,1.08.96,4.8,5,3,2,2
AH BO,J Moreira,A T Millard,123,1101,7,1.23.28,3.1,7,7,5,2
COUNTRY MELODY,J Moreira,J Size,129,1065,8,0.57.08,2.3,9,6,2,2
KYNAM,J Moreira,J Moore,122,1143,5,1.10.44,3.3,4,4,4,4
SO CAFFE,J Moreira,S Woods,116,1142,3,1.35.92,3.8,8,8,7,3
TEOFILO CALVA,J Moreira,J Size,130,1185,10,1.09.48,2.2,6,6,2,2
SEA FURY,J Moreira,D E Ferraris,115,1003,6,1.09.83,9.3,9,7,9,9
CRUISE CONTROL,J Moreira,C Fownes,116,1090,13,1.48.43,3.6,5,6,5,5
KINGSTON JUMBO,J Moreira,W Y So,118,1074,3,1.08.23,2.5,4,3,2,2
DIAMOND FRIENDS,J Moreira,J Size,122,1012,8,1.38.46,5.8,9,8,7,5
PABLOSKY,J Moreira,J Moore,118,1085,9,1.37.62,5.9,1,1,1,3
CHIN CHUN,J Moreira,J Size,125,1073,4,1.08.74,3.1,6,3,3,3
DEHERE'S THE LOVE,J Moreira,J Size,133,1111,9,1.07.40,2.2,6,3,1,1
CARTOON FAY FAY,J Moreira,A T Millard,117,1124,5,1.47.63,3.5,3,4,4,3
EROICO,J Moreira,J Size,125,1146,3,1.22.04,2.5,5,5,4,2
ELEGANT FRAMES,J Moreira,T K Ng,130,1181,1,1.10.42,2.7,5,3,1,1
ONE MORE WORLD,J Moreira,J Moore,125,1126,13,1.10.50,12,13,11,5,5
G-ONE BO BO,J Moreira,J Size,123,1073,3,1.23.59,7.6,9,8,10,6
STRATHMORE,J Moreira,A T Millard,126,1202,3,1.09.51,2,6,5,3,3
WINNAM,J Moreira,T P Yung,130,1166,6,1.36.38,3,11,9,7,6
BOSSIEE,J Moreira,D Cruz,127,1194,8,1.22.73,1.6,3,5,4,6
TANGO FIRE,J Moreira,J Moore,127,1066,14,1.10.23,10,14,14,12,12
HARBOUR MASTER,J Moreira,J Moore,116,1168,11,1.47.15,10,10,10,11,1
SWEET BEAN,J Moreira,C Fownes,120,997,9,1.51.18,7.6,9,9,8,5
TOUCH GO,J Moreira,K W Lui,131,1084,10,0.57.34,13,8,7,3,3
WIN IT,J Moreira,W Y So,129,974,6,1.40.99,6.3,6,6,7,2
BALTIC WARRIOR,J Moreira,C S Shum,133,1115,1,1.09.77,3.5,4,3,4,4
SICHUAN EXEC,J Moreira,J Size,119,1053,4,1.39.47,7.1,6,5,3,2
GOODHEART SUCCESS,J Moreira,C S Shum,125,1073,2,1.40.33,2.1,6,6,6,2
EYE ON YOU,J Moreira,J Size,131,1113,9,1.10.07,4.4,10,11,6,6
ENSURING,J Moreira,J Size,130,1101,6,1.48.34,2.2,6,6,7,2
COUNTRY MELODY,J Moreira,J Size,132,1064,6,1.10.52,5.5,3,7,6,6
CRUISE CONTROL,J Moreira,C Fownes,118,1088,7,2.02.88,3.7,9,9,8,3
KIROV,J Moreira,D J Hall,132,1224,12,1.23.07,4.2,7,6,6,4
TOP BONUS,J Moreira,J Size,123,1181,6,1.10.26,5.4,3,4,2,2
DASHING FELLOW,J Moreira,J Moore,117,1123,8,1.21.68,1.7,4,5,4,1
ATHENA BABY,J Moreira,C S Shum,126,1061,10,1.35.38,4.2,10,9,7,1
ABLE FRIEND,J Moreira,J Moore,128,1286,3,1.33.76,1.1,5,4,4,1
SERGEANT TITANIUM,J Moreira,J Size,122,1113,4,1.35.41,2.6,5,6,6,3
NAMJONG SURPRISE,J Moreira,J Moore,133,1244,9,0.58.43,9.3,1,2,10,10
BALTIC WARRIOR,J Moreira,C S Shum,133,1120,10,1.10.16,7.2,9,6,4,4
WIN IT,J Moreira,W Y So,130,973,4,1.40.42,3.2,3,3,3,1
SHADOWFAXE,J Moreira,J Size,125,1199,5,0.57.11,4.5,1,1,1,1
DIAMOND FRIENDS,J Moreira,J Size,122,1006,11,1.42.21,14,6,8,6,9
BRIGHT STAR,J Moreira,T P Yung,118,1029,8,1.10.11,11,10,10,3,3
DISCIPLES TWELVE,J Moreira,C Fownes,132,1131,1,1.10.37,5.1,7,9,10,10
DRAGON BACHELOR,J Moreira,Y S Tsui,125,1101,10,2.03.98,4.2,14,14,14,7
BOSSIEE,J Moreira,D Cruz,123,1189,5,1.09.97,4.5,4,5,9,9
BEAUTY AHEAD,J Moreira,A S Cruz,123,1221,3,1.23.97,12,4,4,4,4
ROYALE ELEGANCE,J Moreira,J Moore,124,1038,12,1.36.40,3.7,10,10,8,6
TOP BONUS,J Moreira,J Size,123,1181,14,1.11.38,5.2,3,5,14,14
SERGEANT TITANIUM,J Moreira,J Size,126,1110,9,1.49.81,2.8,7,6,7,9
PACKING PINS,J Moreira,P F Yiu,129,1145,11,1.22.33,1.6,12,8,6,1
GOLDEN HARVEST,J Moreira,A T Millard,123,1198,10,1.09.90,16,9,8,10,10
DESIGNS ON ROME,J Moreira,J Moore,126,1050,11,2.03.21,3.9,10,11,11,4
EROICO,J Moreira,J Size,120,1133,1,1.21.81,2.6,3,3,3,4
ORIENTAL FANTASIA,J Moreira,Y S Tsui,118,1085,7,1.10.24,2,1,1,4,4
RED COURAGE,J Moreira,J Size,123,1171,10,1.11.09,8.1,8,6,10,10
CHIN CHUN,J Moreira,J Size,125,1053,1,0.57.46,3.3,6,3,3,3
SOUTHCHINA COMMAND,J Moreira,C Fownes,128,1080,12,1.41.40,6.6,9,9,9,5
CRUISE CONTROL,J Moreira,C Fownes,116,1078,4,2.17.01,3.2,4,4,4,6
SIGHT BELIEVER,J Moreira,J Size,133,1159,5,0.57.45,5.4,4,4,7,7
DASHING CERAMIBO,J Moreira,C S Shum,116,1173,5,1.10.69,2,3,3,1,1
STAR MAJESTIC,J Moreira,P O'Sullivan,133,1078,9,1.40.93,5.6,12,12,11,5
EASTERN EXPRESS,J Moreira,J Size,129,1119,5,1.10.45,4.9,2,4,3,3
SILLY BUDDIES,J Moreira,J Size,132,1072,9,1.12.14,26,6,6,14,14
DASHING FELLOW,J Moreira,J Moore,127,1135,3,1.21.89,3.6,4,5,5,1
FANTASTICLIFE,J Moreira,A S Cruz,127,1121,8,1.23.11,7.4,10,8,6,1
THEWIZARDOFOZ,J Moreira,J Size,125,1186,14,1.09.35,2.8,8,7,1,1
JOYFUL MOMENTS,J Moreira,R Gibson,127,1085,12,1.35.76,2.6,10,8,6,2
BEAR-POP,J Moreira,J Moore,121,1084,10,1.23.39,6.2,10,9,7,1
RED DANCER,J Moreira,J Size,131,1083,13,1.36.28,5.4,2,3,3,7
ABLE FRIEND,J Moreira,J Moore,126,1294,2,1.35.39,1.2,5,5,5,1
MY LITTLE FRIEND,J Moreira,T P Yung,121,1183,4,0.55.70,12,12,10,2,2
NEW PET,J Moreira,W Y So,121,1068,12,1.50.78,14,1,1,1,7
HOW SPEEDY,J Moreira,A T Millard,124,1085,9,1.09.86,7.1,7,7,1,1
GRIFFINDOR,J Moreira,J Moore,129,1118,1,1.41.80,5,5,7,6,10
DILLY,J Moreira,P O'Sullivan,133,1166,3,1.10.56,3,2,3,4,4
HAPPY SURVEYS,J Moreira,J Size,126,1160,11,1.10.27,8.8,10,11,1,1
ENSURING,J Moreira,J Size,133,1086,2,2.16.10,2,4,6,6,2
SHINING CHAMPION,J Moreira,J Size,119,1085,9,1.10.74,7.7,6,8,5,5
ROMANTIC TOUCH,J Moreira,T P Yung,133,1120,7,1.39.60,6,9,10,10,4
SURE PEACE,J Moreira,J Moore,128,1136,13,1.39.39,6.4,10,9,4,2
DR GOOD HABIT,J Moreira,J Size,121,1141,1,1.23.45,6.9,3,3,2,1
CRUISE CONTROL,J Moreira,C Fownes,116,1091,4,2.03.36,3.2,8,9,8,2
CALIFORNIA CHERISH,J Moreira,A S Cruz,133,1034,8,1.22.53,9.6,10,9,8,2
ONE MORE WORLD,J Moreira,J Moore,121,1119,1,1.22.28,3.8,4,4,3,2
TOP BONUS,J Moreira,J Size,122,1184,5,1.10.48,4.6,3,3,2,2
HAPPY JOURNEY,J Moreira,W Y So,124,1052,3,1.38.54,4,3,3,3,2
COUNTRY MELODY,J Moreira,J Size,132,1065,8,1.00.53,3.8,6,4,14,14
SAVVY NATURE,J Moreira,J Moore,115,1264,2,2.31.45,4.3,6,7,8,4
LANSBURY,J Moreira,D J Hall,117,1121,12,1.37.12,4.2,6,3,3,4
FORGIVE AND FORGET,J Moreira,C W Chang,133,1027,9,1.39.26,2.7,5,5,5,1
CHIN CHUN,J Moreira,J Size,126,1049,6,0.57.80,3.1,9,7,5,5
FOODIE,J Moreira,C S Shum,133,1051,9,1.40.76,3.6,7,7,8,1
TRENDIFUL,J Moreira,C S Shum,132,1090,9,0.57.16,4.6,5,4,1,1
